textile_type,qty_exported,countries_exported,type_of_product,per_unit_cost,total_price,year_of_export,month_of_export,customer_name,seller_name
batik,2,Japan,Blouse,10.08,20.16,2021,Dec,Heather Walker,Steven Mcdowell
batik,492,Bangladesh,Dress,5.69,2799.48,2021,Jan,Mark Richards,James Mason
wool,346,Indonesia,Dress,38.27,13241.42,2020,Jul,Taylor Graves,Joseph Young
cotton,12,Pakistan,Scarf,16.6,199.2,2020,Oct,Jill Larson,William Rodriguez
cotton,150,Japan,Pants,51.5,7725.0,2020,Sep,Leonard Cisneros,Cameron Ortiz
linen,436,Malaysia,Jacket,77.41,33750.76,2021,Dec,Tanya Gilbert,Margaret Strickland
batik,400,Pakistan,Skirt,87.96,35184.0,2022,Nov,Paul Fischer,Mario Lee
nylon,61,Malaysia,Scarf,42.27,2578.47,2021,May,John Knight,Jennifer Jackson
batik,77,China,Scarf,9.69,746.13,2021,Jun,Andrew White,Tara Hall
wool,80,United Kingdom,Shirt,76.73,6138.4,2020,Oct,Anthony Pacheco,Jason Myers
linen,294,Indonesia,Shirt,45.07,13250.58,2020,Jun,Rebecca Todd,Gary Romero
batik,296,Malaysia,Dress,9.66,2859.36,2022,Nov,Eileen Hutchinson,Jody Morgan
batik,290,France,Dress,65.58,19018.2,2021,Apr,Melissa Bright,Victor Evans
polyester,44,United Kingdom,Skirt,31.37,1380.28,2022,Mar,Sarah Mccoy,Kelli Clarke
jute,4,Hong Kong,Dress,4.2,16.8,2021,May,Michael Tyler,Rodney Moss
flax,497,Japan,Dress,93.97,46703.09,2022,Feb,John Walters,Joseph Powell
batik,236,Indonesia,Jacket,99.69,23526.84,2020,Jan,Erin Ross,Joseph Jacobs
nylon,204,United Kingdom,Jacket,47.0,9588.0,2020,Aug,Jennifer Elliott,Gary Bennett
wool,146,United Kingdom,Headwear,93.49,13649.54,2022,Aug,Nancy Anderson,Chris Hahn
batik,205,Malaysia,Shirt,85.18,17461.9,2022,Jan,Whitney Taylor,Alicia Robinson
jute,175,Vietnam,Headwear,54.43,9525.25,2020,May,Kurt Orozco,Nicole Lee
cotton,392,Vietnam,Dress,89.91,35244.72,2022,Jun,Peter Rodgers,Donna Weber
polyester,366,Japan,Shawl,64.45,23588.7,2021,Jun,Michael Meadows,Robert Salazar
batik,167,Vietnam,Shawl,19.56,3266.52,2021,Jul,Jennifer Joseph,Holly Scott
batik,400,India,Scarf,11.39,4556.0,2021,Oct,Sherry Baird,Laura Thompson
wool,265,China,Blouse,52.5,13912.5,2021,Jul,Danielle Clayton DVM,Stephen Good
batik,203,Malaysia,Bags,49.59,10066.77,2020,Sep,Corey Henson,Bryan Franklin
cotton,138,Japan,Shirt,45.96,6342.48,2020,Jun,Rebecca Cooper,Deborah Ramirez
batik,468,China,Headwear,44.15,20662.2,2021,Sep,Dr. Savannah Turner PhD,Brian Miller
nylon,135,Vietnam,Pants,38.98,5262.3,2020,Jan,Madeline Kelley,Gregory Hayden
nylon,98,Indonesia,Scarf,58.86,5768.28,2021,Nov,Cynthia Yates,Jason Fernandez
wool,230,Bangladesh,Dress,46.89,10784.7,2020,Jan,Elizabeth Baker,Taylor Gonzalez
rayon,497,Pakistan,Skirt,38.94,19353.18,2020,Aug,Matthew Anderson,Shane Hall
batik,310,Ukraine,Blouse,41.55,12880.5,2022,Jul,Stephen Chan,Sierra Stanton
nylon,99,Vietnam,Bags,61.62,6100.38,2021,Feb,Julian Wright,Robert Scott
wool,61,Indonesia,Skirt,27.62,1684.82,2022,Jul,Roger Williams,Tracey Howell
nylon,76,Indonesia,Headwear,3.73,283.48,2021,Jul,Robert Bond,Bradley Rosales
batik,203,China,Shirt,37.72,7657.16,2022,Oct,Thomas Estrada,Melanie Johnson
spandex,189,Vietnam,Scarf,83.78,15834.42,2021,Jul,Barry Powell,Morgan Stokes
batik,442,China,Dress,32.71,14457.82,2020,Feb,Erin Anderson,Tyrone Gomez
batik,460,Malaysia,Blouse,30.63,14089.8,2021,Mar,Paul Roman,Francisco Mcguire
spandex,33,Bangladesh,Blouse,19.36,638.88,2020,Jan,Veronica Wood,Bradley Simmons
polyester,250,China,Shirt,3.52,880.0,2021,Jan,Cheryl Hodge,Angela Hernandez
polyester,39,Vietnam,Shirt,35.12,1369.68,2022,Jan,Susan Miller,Brandon Tapia
flax,438,Indonesia,Skirt,39.57,17331.66,2022,Jul,Gerald Howard,Monica Smith PhD
batik,143,Malaysia,Skirt,44.84,6412.12,2020,Nov,Mark Crawford,Margaret Lewis
cotton,25,United States,Blouse,59.98,1499.5,2020,Mar,Cassandra Levy,Lindsey Petty
silk,326,Malaysia,Bags,8.39,2735.14,2022,Feb,Brianna Bishop,David Andrade
flax,238,Malaysia,Pants,75.09,17871.42,2020,Sep,Antonio Anderson,Mary Fowler
flax,370,Vietnam,Scarf,71.35,26399.5,2022,Apr,Joseph Lee,Sarah Smith
flax,188,Malaysia,Scarf,91.15,17136.2,2022,Jul,John Christensen,Jennifer Roth
batik,136,Indonesia,Scarf,95.36,12968.96,2022,May,Patricia Perez,Mr. Jose Salinas
batik,438,Indonesia,Skirt,49.36,21619.68,2021,Mar,Jason Martin,Mikayla Wilson
batik,134,Bangladesh,Bags,25.84,3462.56,2020,Mar,Kimberly Richardson,Luis Hill
cotton,498,United Kingdom,Dress,18.37,9148.26,2020,Nov,Tyler Mitchell,Todd Montgomery
spandex,42,Malaysia,Scarf,41.47,1741.74,2020,May,Amber Smith,Crystal Brown
linen,416,Vietnam,Shirt,78.26,32556.16,2020,Jun,Erica Taylor,Julia Melton
batik,479,Korea,Dress,89.6,42918.4,2022,Mar,John Johnson,Pamela Wiggins
batik,320,Vietnam,Bags,62.87,20118.4,2020,Feb,Jessica Brennan,Cheryl Foster
batik,349,Korea,Scarf,37.89,13223.61,2022,Nov,Joe Dennis,Lee Thomas
batik,179,Japan,Pants,3.7,662.3,2020,Nov,John Smith,Kristen Holland
batik,331,Netherlands,Scarf,59.18,19588.58,2021,Jan,Kelly Wheeler,Nicole Scott
batik,289,Vietnam,Dress,96.28,27824.92,2020,Jul,Joy Jackson,Grant Brown
batik,324,Vietnam,Shawl,67.72,21941.28,2021,Sep,Brian Mitchell,William Valencia
cotton,160,Japan,Blouse,29.78,4764.8,2020,Dec,Joshua Blake,Sheri Wells
cotton,92,India,Bags,36.01,3312.92,2020,Sep,Nancy Walsh,Elizabeth James
batik,140,Indonesia,Skirt,47.78,6689.2,2021,Sep,Jennifer Phillips,Timothy Fowler
nylon,449,Bangladesh,Blouse,95.63,42937.87,2022,May,Kellie Spears,Daniel Mccarthy
batik,196,China,Skirt,51.72,10137.12,2022,Jul,Joseph Knight,Tara Martinez
nylon,459,Indonesia,Shirt,61.83,28379.97,2021,Apr,Bryan Roth,Ashley Gonzalez
batik,466,Vietnam,Scarf,22.95,10694.7,2021,Aug,Danielle Fisher,Laura Moore
jute,158,United States,Scarf,42.65,6738.7,2021,Mar,Courtney Davis,Benjamin English
rayon,197,Vietnam,Skirt,94.34,18584.98,2021,Jul,John Parrish,William Phillips
batik,95,Vietnam,Shirt,53.57,5089.15,2020,Jun,Jennifer Martinez,Anita Miller
batik,375,Hong Kong,Shirt,78.52,29445.0,2020,Dec,Ashley Montgomery,Elizabeth Morgan
linen,449,Malaysia,Shirt,7.89,3542.61,2022,Aug,Christine Jordan,Nathaniel Ortiz
batik,38,United States,Scarf,18.0,684.0,2022,May,Angela Flowers,Heidi Goodman
batik,11,China,Bags,83.98,923.78,2021,Jan,Gregory Scott,Barry Hernandez
linen,84,Vietnam,Headwear,24.49,2057.16,2022,Jan,Sharon Page,Carolyn Smith
flax,397,China,Skirt,70.12,27837.64,2020,Jul,Sarah Baker,Paul Nixon
batik,405,Indonesia,Pants,56.57,22910.85,2020,Nov,Kristen Shields,Patricia Henderson
batik,54,Malaysia,Dress,40.86,2206.44,2020,Mar,Christopher Torres,Jeff Johnson
nylon,367,Netherlands,Dress,39.23,14397.41,2021,Oct,Diane Ramirez,Cassidy Herring
silk,472,Turkey,Headwear,77.01,36348.72,2022,Aug,Ashley Martinez,Patrick Harrison
polyester,224,China,Dress,24.51,5490.24,2022,Feb,Savannah Rodriguez,Tyler Kirk
batik,399,Turkey,Scarf,89.81,35834.19,2020,Jan,Jonathan Collins,Michael Sullivan
wool,479,Malaysia,Headwear,38.29,18340.91,2022,Dec,Eric Porter,Kathleen Bailey
batik,167,Indonesia,Skirt,26.71,4460.57,2020,Jan,Tracy Martinez,Jose Thomas
batik,234,Malaysia,Dress,76.76,17961.84,2021,Dec,Abigail Krueger,Daniel Thompson
batik,309,Japan,Blouse,59.51,18388.59,2022,Oct,Casey Lewis,Kenneth Jackson
batik,65,China,Shirt,56.99,3704.35,2020,Aug,Joy Thomas,Shawn Rodriguez
batik,85,Malaysia,Shirt,31.93,2714.05,2021,Nov,Benjamin Morgan,Michael Pugh
nylon,66,Vietnam,Dress,50.12,3307.92,2020,Aug,Ashley Salas,Jason Nichols
spandex,211,Turkey,Shawl,35.5,7490.5,2020,Jun,Amanda Scott,Natasha Downs
rayon,345,Vietnam,Blouse,62.94,21714.3,2020,Dec,Jeanne Park,Nancy Davis
rayon,311,India,Shirt,16.68,5187.48,2022,Oct,Jennifer Campbell,Stephen Collins
wool,334,Austria,Dress,4.41,1472.94,2020,Feb,Diane Stewart,Sarah West
batik,491,Turkey,Skirt,78.99,38784.09,2021,Dec,Ashley Miles,James Cooper
spandex,285,Hong Kong,Skirt,98.42,28049.7,2021,Jun,Jamie Ryan,Eric Moore
silk,276,Germany,Skirt,91.33,25207.08,2022,Jul,Heather Kelly,Randy Jones
batik,324,Japan,Headwear,50.36,16316.64,2020,Sep,Kathryn Thomas,Jerry Kelley
rayon,428,Malaysia,Pants,84.09,35990.52,2021,Oct,Joshua Ellis,Jeremy Holmes
flax,84,Vietnam,Blouse,88.46,7430.64,2021,Apr,Jonathan Scott,Lindsey Edwards
nylon,469,Vietnam,Headwear,22.21,10416.49,2020,Oct,Sandra Smith,Timothy Nelson
batik,384,Indonesia,Dress,99.85,38342.4,2022,Jul,Christian Williams,Sonya Shelton
spandex,233,Vietnam,Scarf,31.95,7444.35,2020,Aug,Caroline Wagner,Kevin Howard
cotton,262,Hong Kong,Dress,35.82,9384.84,2021,Aug,Samantha Mcguire,Benjamin Morris
polyester,444,Malaysia,Shirt,17.68,7849.92,2020,Aug,Emily James,Amanda Gross
jute,222,Indonesia,Jacket,10.43,2315.46,2020,Oct,Lisa Payne,Jesse White
nylon,285,Austria,Bags,73.47,20938.95,2022,Jan,Emily Smith,Taylor Grimes
nylon,313,Malaysia,Dress,84.54,26461.02,2022,Aug,Crystal Harris,Andrew Burton
batik,370,Hong Kong,Blouse,84.36,31213.2,2020,Aug,Norma Garcia,James Roberson
batik,95,Pakistan,Shawl,32.0,3040.0,2021,Oct,Jennifer Wheeler,Anna Edwards
flax,442,United Kingdom,Skirt,35.27,15589.34,2022,Jul,Tanya Nguyen,Ashlee Jones
wool,222,Netherlands,Dress,81.05,17993.1,2022,Jun,Shannon Wilson,Billy Matthews
spandex,450,Indonesia,Shirt,24.5,11025.0,2021,Mar,Anthony Norris,Ruben Mahoney
cotton,256,Bangladesh,Shirt,61.38,15713.28,2020,Dec,Nicole Sutton,Adam Stone
batik,360,Hong Kong,Shirt,2.05,738.0,2020,Nov,Kimberly Rosales,William Jones
batik,121,Netherlands,Scarf,17.72,2144.12,2020,Aug,Sherri Flores,Paul Smith
cotton,230,Hong Kong,Bags,12.46,2865.8,2022,Aug,Christine Watson,Kristen Green
batik,384,Hong Kong,Blouse,27.32,10490.88,2022,Jan,Dr. Robert Harris,Daniel Johnson
cotton,68,Malaysia,Shirt,6.23,423.64,2021,Jun,Lawrence Snyder,Katherine Valdez
flax,99,United States,Shirt,19.21,1901.79,2020,Jul,Juan Navarro,Cynthia Olson
batik,321,Hong Kong,Skirt,57.16,18348.36,2022,Mar,Sarah Miller,Daniel Stone
batik,466,United States,Scarf,24.03,11197.98,2020,Jul,Don Watts,Richard Gray
batik,160,United Kingdom,Blouse,82.39,13182.4,2020,Mar,Thomas Wilkinson,James Bennett
batik,48,Indonesia,Bags,40.77,1956.96,2021,Jul,Alan Montgomery,Timothy Meyer
linen,228,Malaysia,Shawl,60.95,13896.6,2020,Jan,Nicholas Robinson,Nicolas Williams
wool,483,Indonesia,Shawl,66.56,32148.48,2022,Apr,Lisa Miles,Riley Hill
spandex,125,United States,Dress,83.06,10382.5,2020,Apr,Matthew Stuart,Ashley Weiss
linen,13,Bangladesh,Shirt,20.3,263.9,2022,May,Kayla Gonzalez,Shannon Underwood
cotton,476,Turkey,Skirt,5.49,2613.24,2021,Apr,Sharon Smith,Randall Liu
rayon,132,Vietnam,Scarf,25.44,3358.08,2022,Jan,Stephanie Zhang,Vanessa Davis
batik,221,Vietnam,Shawl,17.36,3836.56,2020,Jul,Jason Clay,John Smith
spandex,290,Cambodia,Dress,14.16,4106.4,2022,Sep,Joseph King,David Villegas
rayon,404,Pakistan,Skirt,69.94,28255.76,2021,Jan,David Brown,Marie Lambert
linen,393,India,Headwear,95.76,37633.68,2022,Sep,Ryan Todd,Benjamin Lowery
polyester,94,Bangladesh,Shawl,22.07,2074.58,2021,Aug,Robert Rogers,Terry Gray
linen,432,Indonesia,Headwear,96.37,41631.84,2021,Jan,Nicole Wyatt,Danielle Callahan
batik,222,Hong Kong,Shirt,30.43,6755.46,2021,Sep,Robert Massey,Gordon Bates
spandex,88,United States,Dress,32.63,2871.44,2021,Nov,Kimberly Smith,Sarah Wilson
jute,31,Bangladesh,Shawl,98.12,3041.72,2022,Feb,Marie Young,Victoria Miller
batik,48,United States,Headwear,67.9,3259.2,2020,Jul,Alyssa Mcgee,Eugene Brooks
batik,287,Japan,Blouse,1.94,556.78,2022,Dec,Lauren Curry,Colleen Flores
polyester,335,Vietnam,Shirt,33.22,11128.7,2020,Sep,Jessica Meyer,Robin Torres
batik,426,Vietnam,Skirt,10.74,4575.24,2021,Jun,David Sherman,Robert French
jute,356,Indonesia,Pants,18.2,6479.2,2021,Aug,Kimberly Wolfe,Tammy Edwards
batik,29,Germany,Headwear,95.7,2775.3,2020,Nov,Benjamin Wilson,Amber Silva
cotton,313,Netherlands,Bags,29.35,9186.55,2022,Feb,Sean Murphy,Thomas Mays
batik,322,Indonesia,Dress,46.54,14985.88,2021,Dec,Tina Murray,Patrick Simmons
polyester,394,Japan,Bags,7.89,3108.66,2020,Jan,Michael Dyer,Krystal Wheeler
jute,424,Italy,Dress,77.63,32915.12,2022,Jan,Ashley Freeman,Suzanne Campbell
nylon,368,United States,Shirt,46.07,16953.76,2021,Jul,Kimberly Miller,Paul Zhang
batik,132,Vietnam,Skirt,75.79,10004.28,2020,Oct,Corey Navarro,Mariah Hernandez
jute,17,United States,Blouse,36.87,626.79,2020,Jul,Tommy Johnson,Thomas Landry
cotton,178,Hong Kong,Shawl,80.84,14389.52,2022,Dec,Danielle Mcclure,Kristine Livingston
wool,14,Malaysia,Shirt,46.02,644.28,2022,Jan,Alicia Giles,Seth Jones
polyester,459,Indonesia,Bags,95.06,43632.54,2022,May,Brian Drake DVM,Ryan Pearson
batik,324,Malaysia,Shirt,41.94,13588.56,2020,Aug,Gerald Gonzales,Eric Rhodes
batik,54,Hong Kong,Pants,26.97,1456.38,2020,Aug,Chad Brown,Jessica Anderson
nylon,184,India,Scarf,29.86,5494.24,2021,Aug,Megan Russell,Amy Roach
linen,396,Hong Kong,Headwear,28.45,11266.2,2021,Jun,John Campbell,Richard Erickson
batik,225,Vietnam,Pants,15.9,3577.5,2020,May,Rebecca Hutchinson,Mark Williams
wool,433,Malaysia,Skirt,99.26,42979.58,2020,Oct,Tanya Booth,Jessica Wheeler
linen,482,Vietnam,Jacket,66.25,31932.5,2022,May,Darrell Welch,Robert Allen
flax,205,Hong Kong,Scarf,2.05,420.25,2020,Apr,Michele Villanueva,Christopher White
batik,399,Malaysia,Skirt,66.05,26353.95,2020,Jul,Joel Johnson,Michael Thomas
polyester,90,Vietnam,Skirt,59.29,5336.1,2020,Jan,Virginia Roberts,Barbara Day
polyester,61,Hong Kong,Skirt,83.0,5063.0,2021,Jul,Brandon Mcgrath,Brianna Phillips
spandex,320,Japan,Dress,16.98,5433.6,2020,Oct,Mallory Griffith,Robert Hurst
wool,269,India,Scarf,22.86,6149.34,2020,Apr,Isaac Martin,Stephen Baker
batik,363,Germany,Shirt,48.66,17663.58,2020,Jul,Kimberly Doyle,Alison Harvey
silk,456,Malaysia,Shawl,76.12,34710.72,2021,Feb,Megan Hampton,Jennifer Brown
batik,211,United Kingdom,Shirt,91.51,19308.61,2022,Feb,Charles Kaiser,Kyle Kaiser
wool,31,France,Shawl,28.36,879.16,2020,Jul,Sabrina Butler,Sarah Livingston
batik,134,United States,Skirt,62.91,8429.94,2022,Feb,Michael Rodriguez,Patrick Willis
batik,375,Austria,Skirt,5.46,2047.5,2021,Feb,Roberto Smith,Crystal Conrad
polyester,390,Hong Kong,Jacket,54.99,21446.1,2020,Sep,Rebecca Lara,Lori Thompson
flax,388,Hong Kong,Scarf,45.22,17545.36,2022,Oct,Melinda Clark,Christine Simpson DVM
batik,53,United States,Skirt,33.28,1763.84,2020,Oct,Dana Duran,Travis Taylor
silk,462,Vietnam,Skirt,80.82,37338.84,2020,Mar,Blake Sullivan,Anthony King
batik,226,Vietnam,Skirt,88.33,19962.58,2020,Jun,Kelli Lopez,Michelle Beard
linen,489,Vietnam,Skirt,56.33,27545.37,2022,Dec,Michelle Bautista,Gail Brewer
wool,181,Vietnam,Dress,19.7,3565.7,2021,Feb,Michele Stevens,Kathleen Humphrey
linen,413,Indonesia,Dress,4.1,1693.3,2022,May,Wesley Brooks,Jason Mejia
cotton,470,China,Headwear,16.69,7844.3,2022,May,Aaron Blankenship,Mike Castro
batik,127,Indonesia,Scarf,52.49,6666.23,2021,Jan,Megan Brown,Ryan Singleton
rayon,110,China,Scarf,78.74,8661.4,2020,Jun,Danielle Maldonado,Cynthia Collier
jute,208,Malaysia,Dress,83.73,17415.84,2022,Dec,Randy Wagner Jr.,Alyssa Brooks
nylon,17,Japan,Scarf,63.11,1072.87,2021,Dec,Kathleen Stewart,Mr. Devin Bowman
batik,475,Vietnam,Pants,86.74,41201.5,2021,Sep,James Graves,Ann Macias
silk,195,United States,Jacket,34.54,6735.3,2022,Jul,Zachary Chavez,Nancy Nguyen
polyester,386,Hong Kong,Dress,53.2,20535.2,2020,May,Larry Torres,Daniel Jones
polyester,49,Japan,Blouse,86.42,4234.58,2021,Jan,Jennifer Reyes,Steve Greene
jute,17,Bangladesh,Dress,78.32,1331.44,2022,Sep,Mark Dean,Ryan Jones
silk,399,United States,Shirt,73.24,29222.76,2022,Feb,Marco Nielsen,Michael Byrd
rayon,368,Turkey,Blouse,3.9,1435.2,2021,May,Jeremiah Bentley,Robert Sullivan
batik,471,China,Bags,7.62,3589.02,2022,Jan,Amanda Russell,Troy Scott
nylon,304,Malaysia,Shirt,74.77,22730.08,2022,Jan,Eric Garcia,Craig Mclean
rayon,412,Malaysia,Shirt,20.49,8441.88,2020,Nov,David Shepherd,David Wiley
nylon,335,Turkey,Blouse,34.73,11634.55,2021,Sep,Thomas Roy,Max Gordon
rayon,75,Indonesia,Dress,88.76,6657.0,2021,Apr,Edwin Wheeler,Lucas Brown
batik,143,Pakistan,Scarf,11.99,1714.57,2022,Feb,Tamara Jordan,Jonathan Jones
jute,83,Vietnam,Scarf,90.55,7515.65,2020,Nov,Benjamin Phillips,Tara Smith
batik,237,United Kingdom,Dress,16.72,3962.64,2020,Jan,Wayne Smith,Benjamin Davis
nylon,430,United States,Headwear,6.18,2657.4,2022,Nov,Mrs. Andrea Collins,Heather Buchanan
batik,119,China,Scarf,19.23,2288.37,2022,Sep,Mr. Thomas Jones,Jeffrey Simpson
silk,33,India,Shirt,0.64,21.12,2021,Jul,Shelly Young,Stephanie Cole
batik,223,Indonesia,Shawl,83.03,18515.69,2022,Jan,Brian Lopez,Jonathan Hawkins
rayon,420,Hong Kong,Shirt,99.87,41945.4,2020,Dec,Kelly Davis,Robin Blankenship
rayon,119,Malaysia,Dress,32.77,3899.63,2020,Jul,Tyler Johnson,Alison Davis
jute,135,Japan,Headwear,0.07,9.45,2020,Jul,Andrew Paul,Beth Munoz
rayon,174,Japan,Bags,6.38,1110.12,2021,Dec,Scott Harris,Keith Sullivan
batik,173,Turkey,Skirt,45.96,7951.08,2021,Aug,Peter Warner,Lisa Chandler
linen,155,Hong Kong,Dress,54.87,8504.85,2020,Jan,Nicholas Ortega,Carlos Jones
silk,109,Pakistan,Skirt,19.97,2176.73,2022,Jan,Melissa Bell,Lindsay Graham
spandex,67,China,Skirt,33.73,2259.91,2022,Nov,Michelle Alexander,Troy Jones
cotton,394,China,Scarf,73.33,28892.02,2021,Jul,Derrick Davis,David Thompson
batik,385,United States,Shirt,37.26,14345.1,2020,Nov,Valerie Rivera MD,Ashley Marks
nylon,395,Vietnam,Dress,80.32,31726.4,2022,Nov,Ashley Oconnor,Kevin Schmitt
cotton,223,Hong Kong,Blouse,84.07,18747.61,2021,Mar,Shannon Luna,Diana Gibson
flax,324,Turkey,Dress,40.84,13232.16,2022,Jun,Lori Sims,Nicole Dickerson
batik,395,Vietnam,Scarf,78.86,31149.7,2021,Jul,Brandon Cox,Joe Dixon
polyester,159,Turkey,Bags,84.5,13435.5,2022,Nov,Felicia Swanson,Dustin Taylor
nylon,335,Malaysia,Blouse,78.91,26434.85,2020,Jun,Joseph Fry,Sherry Ferguson
silk,282,Indonesia,Dress,64.96,18318.72,2022,Nov,Thomas Clark,Pamela Anderson
flax,396,Malaysia,Skirt,56.98,22564.08,2022,Feb,Eddie Franklin,Shelley Pacheco
cotton,498,Malaysia,Skirt,0.57,283.86,2021,Oct,Edward Hahn,Aaron Rowe
silk,88,Indonesia,Skirt,37.67,3314.96,2021,Oct,Frank Rodriguez,Daniel Cooper
rayon,11,Indonesia,Scarf,65.31,718.41,2021,Jan,Tristan Wilson,Beverly Walton
flax,369,Ukraine,Blouse,5.6,2066.4,2020,Jul,Robert Pugh,Tiffany Caldwell
linen,300,Bangladesh,Skirt,70.64,21192.0,2020,Jul,Michael Lloyd,Jennifer Martin
batik,256,Indonesia,Pants,15.75,4032.0,2022,Feb,Timothy Conner,Phillip Oneill
silk,468,United States,Dress,13.89,6500.52,2021,Feb,Robert Hernandez,Timothy Cox
rayon,247,Hong Kong,Shawl,73.94,18263.18,2022,Jul,Michael Campos,James Schmidt
batik,393,Hong Kong,Blouse,34.74,13652.82,2022,Oct,Jessica Mendez,Donna Rojas
jute,149,China,Skirt,14.21,2117.29,2021,Nov,Jonathan Hernandez,John Cabrera
silk,201,Vietnam,Bags,82.43,16568.43,2021,Jul,Barry Williams,Mark Allen
wool,295,Italy,Shirt,54.9,16195.5,2022,Jul,Ashley Martinez,William Gay
wool,491,Hong Kong,Pants,44.02,21613.82,2020,Aug,Michael Wiggins,Joshua Andrade
silk,38,United States,Scarf,87.5,3325.0,2020,Jun,Brandon Mckinney DDS,Dwayne Jones
batik,162,China,Shirt,29.04,4704.48,2022,Jun,Daniel Crawford,Mr. George Taylor
batik,58,Hong Kong,Skirt,72.28,4192.24,2020,Jan,Jose Thompson,Joel Wilson
silk,84,Pakistan,Shawl,33.41,2806.44,2022,Oct,Jack Brown,Allen Page
flax,342,Japan,Skirt,11.9,4069.8,2021,Jul,Brandi Byrd,Robert Stone
polyester,30,Malaysia,Scarf,75.55,2266.5,2020,Aug,Peter Morris,Travis Smith
batik,469,Austria,Shirt,60.03,28154.07,2021,Jul,Dominique Jones,Troy Thornton
batik,433,Indonesia,Blouse,27.88,12072.04,2022,Feb,Alexandra Williamson,Mary Bennett
polyester,339,Malaysia,Headwear,79.66,27004.74,2022,Sep,Mrs. Kimberly Gallegos MD,Brittany Wilson
nylon,97,Japan,Shirt,94.01,9118.97,2021,Jun,Judy Jones,Ryan Henderson
flax,71,Ukraine,Scarf,18.06,1282.26,2021,Jan,Lonnie Ruiz,Alicia Norris
cotton,224,Pakistan,Dress,84.98,19035.52,2021,Jan,Cody Graham,Joshua Boyd
linen,171,Hong Kong,Jacket,19.19,3281.49,2021,Sep,Dalton Koch,Sydney Tyler
batik,347,Malaysia,Skirt,17.64,6121.08,2022,Jul,Holly Coleman,Victoria Dunn
jute,21,Vietnam,Pants,22.25,467.25,2022,Aug,Christopher Chavez,Christine Turner
linen,119,China,Dress,82.05,9763.95,2021,Jun,William Hansen,Brandon Turner
linen,124,Vietnam,Pants,75.79,9397.96,2021,Jan,Jeffrey Ross,Tara Woods
batik,477,India,Shirt,20.7,9873.9,2021,Jul,Melvin Roman,Michael Fernandez
batik,331,Malaysia,Headwear,84.96,28121.76,2021,Sep,Joshua Fox,Amy Kidd
batik,489,France,Dress,94.05,45990.45,2021,Jul,Jennifer Hamilton,Tara Jones
spandex,173,Malaysia,Blouse,20.17,3489.41,2022,Jul,Kelsey Camacho,Susan Morales
linen,325,China,Skirt,85.41,27758.25,2021,Jul,Peter Riley,Roger Reyes
flax,345,Pakistan,Shawl,88.53,30542.85,2021,Jan,Monica Branch,Donna Williams
rayon,386,Hong Kong,Dress,17.33,6689.38,2021,Jan,Nicholas Rodriguez,Stephen Soto
batik,310,Hong Kong,Scarf,23.08,7154.8,2020,May,Sara Meyer,Amber Weaver
polyester,482,India,Shirt,97.46,46975.72,2021,Apr,Bruce Sandoval,William Fitzgerald
jute,241,Indonesia,Bags,91.78,22118.98,2022,Jul,Felicia Edwards,Shirley Ramirez
wool,423,Turkey,Scarf,56.68,23975.64,2020,Jun,Maria Pierce,Victoria Pollard
batik,138,United States,Dress,78.54,10838.52,2020,Jul,Shelly Ramos,David Dorsey
batik,309,Indonesia,Scarf,26.69,8247.21,2022,Jul,Jake Brown,Stacey Bell
batik,474,Japan,Skirt,42.41,20102.34,2021,Jan,Jeanette Harvey,Janet Brooks
batik,263,Vietnam,Headwear,63.82,16784.66,2021,Jun,Mary Shelton,Paige Gilbert
linen,395,Bangladesh,Jacket,24.65,9736.75,2022,Jul,Richard Nelson,Christine Davis
batik,483,Hong Kong,Blouse,79.92,38601.36,2020,Oct,Monica Lee,Jay Woods
silk,339,Pakistan,Shirt,48.82,16549.98,2020,Jan,Michelle Hayden,Jennifer Ross
batik,351,Bangladesh,Blouse,47.2,16567.2,2021,Dec,Christopher Hernandez,Angela Moore
jute,5,Vietnam,Dress,19.99,99.95,2021,Oct,Michelle Sharp,Cesar Hernandez
linen,137,Vietnam,Skirt,12.87,1763.19,2020,Jun,Julie Mcmillan,Anthony Gaines
spandex,55,Indonesia,Skirt,10.44,574.2,2022,Jul,Christine Ruiz,Chad Thomas
linen,351,Malaysia,Headwear,98.04,34412.04,2022,Jul,Anthony Simmons,Marie Walters DDS
nylon,268,Cambodia,Skirt,60.06,16096.08,2022,Sep,Benjamin Weaver,Karen Hart
wool,445,Ukraine,Shawl,44.94,19998.3,2022,Jul,Joshua Small,Virginia Mitchell
batik,416,Indonesia,Bags,87.17,36262.72,2021,Jul,Daniel Hodge,Deborah Ewing
rayon,201,United Kingdom,Scarf,4.42,888.42,2020,Jul,Timothy Lewis,Joseph Graham
polyester,382,Indonesia,Headwear,18.98,7250.36,2022,Jan,Randall Gutierrez,Hunter Patrick
batik,326,Japan,Scarf,8.97,2924.22,2021,Oct,Raymond Duncan,Edgar Steele
batik,430,United States,Shirt,77.78,33445.4,2020,Jul,Colleen Graham,Christopher Pruitt
batik,320,Indonesia,Blouse,52.11,16675.2,2020,Aug,Michael Dalton,Nicholas Norris
rayon,47,China,Bags,86.02,4042.94,2020,Jun,Darren Cook,Matthew Haas
wool,17,Japan,Shirt,38.55,655.35,2020,Apr,John Hunt,Linda Hansen
