type_of_textile,qty_exported,countries_exported,type_of_product,price_of_product,year_of_export,month_of_export,customer_name,seller_name
wool,242,Germany,jacket,169.6,2021,5,Cristian Allen,Amy Campbell
rayon,439,France,pants,640.05,2020,6,Lorraine Reynolds,Lauren Reese
wool,453,Australia,dress,846.75,2021,2,Emma Ellis,Sharon Banks
polyester,484,Canada,blouse,812.76,2021,12,Willie Jimenez,Michael Benjamin
batik,491,Australia,scarf,942.05,2022,7,Ashley Douglas,Tyler Rodriguez
rayon,43,New Zealand,dress,711.97,2020,9,Shawn Smith,Jennifer Johnson
linen,19,Japan,jacket,769.31,2022,9,James Shaw,Billy Thompson
rayon,258,Germany,pants,884.49,2021,7,Becky Hudson,Mary Bridges
cotton,499,United Kingdom,scarf,194.96,2021,4,Ronald Crawford,Peter Landry
wool,192,United States,skirt,999.49,2022,4,Kristina Thompson,Katelyn Spencer
batik,357,South Korea,pants,146.76,2021,11,Elizabeth Martinez,James Miller
batik,183,Canada,shirt,817.43,2020,3,Mr. Marc Collier,Jeffrey Thompson
linen,314,China,headwear,236.6,2022,7,Denise White,Timothy Allen
rayon,211,Italy,skirt,905.71,2021,12,Grace Mitchell,Evelyn Sanders
batik,408,China,jacket,252.34,2022,11,Sandra Prince,Veronica Murray
batik,139,Australia,shirt,629.08,2020,7,Christopher Ramos,Christopher Clark
silk,500,Spain,blouse,697.72,2020,11,Derrick Lester,David Lawrence
wool,379,China,jacket,973.4,2022,10,James Pham,Jim Rios
cotton,150,France,headwear,371.8,2022,7,Randall Hernandez,Mrs. Tracey Gonzalez
linen,479,Italy,dress,898.63,2021,3,David Ramos,Amy Parks
cotton,204,Germany,shirt,534.96,2021,8,Douglas Henson,Natalie Fisher
polyester,2,Germany,bags,49.41,2021,3,Ryan Garcia,Devin Mcclain Jr.
batik,269,Australia,jacket,138.17,2020,2,Shelly Holder,Calvin Howard
silk,377,New Zealand,shirt,691.19,2020,6,Virginia Brown,Eric Garcia
batik,412,France,headwear,709.9,2021,5,Roy Cowan,Amanda Watson
silk,459,Japan,shawl,538.23,2021,9,Mary Hawkins,Nathaniel Walker
batik,497,United States,skirt,754.68,2021,5,Suzanne Garcia,Susan White
batik,257,Japan,scarf,970.92,2020,6,Zachary Price,Amber Ponce
batik,421,Netherlands,scarf,623.39,2021,3,Kristen Miller,Dawn Phillips
rayon,58,Netherlands,blouse,657.85,2021,12,Evelyn Grant,Barbara Allen
wool,425,Italy,headwear,590.05,2021,12,Christopher Schroeder,Chelsea Lawson
cotton,241,Australia,jacket,956.26,2022,5,Bruce Hall,Ellen Mcguire
polyester,404,France,headwear,40.2,2021,2,Melissa Norris,Mrs. Amanda Mclaughlin DDS
rayon,15,Spain,bags,188.05,2020,4,Kelly Thomas,Alexander Martinez
wool,408,Hong Kong,dress,775.4,2021,12,Justin Lara,Shaun Gibbs
rayon,369,France,dress,94.3,2021,5,Thomas Salazar,Brittany Hayes
batik,428,Spain,pants,38.51,2021,3,Jonathan Bradley MD,Danielle Perez
wool,170,New Zealand,shirt,924.63,2022,5,Raven Le,Scott Saunders
linen,224,Hong Kong,bags,632.74,2020,2,Donna Vance,Rhonda Owens
wool,460,China,dress,390.6,2021,4,Leslie Martinez,Stephanie Flores
batik,208,United States,headwear,53.01,2020,1,Mr. John Fritz,Tracy Johnson MD
rayon,456,Germany,shirt,161.07,2020,11,Keith Rodgers,Brianna Carroll
linen,159,New Zealand,jacket,980.57,2022,2,Amber Richardson,Jason Herrera
rayon,140,Australia,scarf,144.64,2020,7,Erin Barnett,Stefanie Hobbs
batik,81,Canada,dress,787.67,2022,12,Rachel Rhodes,Amanda Peterson DDS
polyester,132,Netherlands,shirt,876.2,2020,12,John Craig,Tiffany Carlson
batik,295,United States,scarf,149.11,2021,1,Cheryl Tucker,Nathan Pena
cotton,197,New Zealand,shirt,908.92,2022,1,Susan Foster,April Sanders
rayon,124,India,skirt,844.03,2020,3,Michelle Garcia,Catherine Williams
polyester,445,Spain,skirt,140.59,2021,2,Tammie Fowler,Monica Williams
rayon,356,Japan,skirt,276.1,2021,12,Christopher Lopez,Steven Duncan
linen,426,New Zealand,jacket,30.8,2022,11,Matthew Hurst,Jane Koch
cotton,94,India,skirt,209.53,2022,7,Amanda Strickland,Amanda Salazar
batik,379,Australia,shawl,236.18,2020,10,Larry Cox,Krista Higgins
linen,334,United Kingdom,blouse,261.51,2020,11,James Blevins,Nathan Thomas
silk,308,South Korea,shirt,319.34,2021,12,Anne Anderson,Jessica Simmons
batik,352,New Zealand,scarf,583.99,2020,1,Joseph Klein,Jennifer Gomez
rayon,9,United States,scarf,932.77,2020,5,Erin Burke,Timothy Friedman
batik,90,United Kingdom,shirt,13.63,2021,9,Christopher Brooks,Austin Wilson
rayon,417,Canada,dress,878.41,2020,1,Ryan Johnson,Michael Robles
rayon,99,France,skirt,491.82,2021,8,Michele Guzman,Crystal Brown
linen,493,United States,bags,887.75,2020,3,Cassidy Washington,Douglas Davis
silk,346,South Korea,jacket,544.17,2020,9,Kristen Martin,Michael Hunt
cotton,178,Netherlands,scarf,780.8,2022,7,Sabrina Cook,Michael Harris
silk,24,China,bags,385.45,2021,12,Cynthia Lopez,Austin Mann
wool,271,Hong Kong,skirt,947.71,2021,10,Amanda Nelson,Gregory Knight
silk,72,India,shirt,195.34,2022,2,Jamie Knapp,Douglas Martinez
wool,419,Italy,bags,416.95,2020,9,Brittany James,Lawrence Wilson
linen,452,France,headwear,408.54,2020,7,Elizabeth Hall,Lisa Chen
rayon,15,United States,shirt,863.31,2022,2,Patty Humphrey,Claire Rivera
batik,382,France,skirt,539.5,2022,1,Benjamin Mullen,Michael Jones III
wool,68,Germany,pants,749.33,2022,3,Renee Wilson,Mary Wyatt
silk,149,United Kingdom,bags,391.36,2020,3,Nancy Saunders,John Garcia
wool,268,Spain,blouse,625.72,2022,9,Justin Taylor,Melissa Arias
rayon,407,France,skirt,300.5,2020,1,Beth Bishop,Brittany Conner
rayon,412,India,scarf,577.13,2022,1,Thomas Hudson MD,Gregory English MD
batik,401,United States,skirt,67.3,2021,9,Nicole Stuart,Ray Ray
rayon,107,Australia,headwear,773.16,2020,12,Natalie Snyder,Matthew Ray
batik,227,India,pants,727.53,2021,5,Timothy Wilkerson,Craig Kelly
rayon,84,Canada,shirt,340.05,2021,6,Christopher Henry MD,Rose Weaver
wool,327,Italy,headwear,802.26,2020,2,Jennifer Horn MD,Jennifer Parsons
polyester,144,Japan,shawl,830.5,2021,6,Jennifer Martin,Stephanie Morse
cotton,476,South Korea,dress,486.04,2021,11,Annette Cole,Jason Smith
linen,368,Japan,skirt,57.23,2021,6,Sara Rubio,Mariah Adams
rayon,368,Australia,shirt,457.88,2020,2,Jesse Oconnor,Joshua Wagner
wool,86,India,headwear,645.1,2020,4,William Jackson,Mark Jones
cotton,246,New Zealand,jacket,381.8,2020,5,Deborah Garcia,Nathan Graves
rayon,263,China,jacket,995.28,2020,7,Micheal Lewis,Tracy Cox
batik,452,Hong Kong,shirt,99.85,2021,5,Kevin Thomas,Joseph King
batik,437,United Kingdom,dress,343.43,2021,11,Elizabeth Foster,Zachary Smith Jr.
batik,52,India,blouse,496.58,2022,12,Paula Riley,Tiffany Johnson
cotton,182,China,shirt,116.14,2020,1,Richard Clark,Christian Orr
polyester,459,Italy,shawl,512.18,2022,4,Samantha Rose,Danielle Strickland
rayon,437,Netherlands,jacket,551.57,2022,8,Alexander Coleman,Daniel Vasquez
cotton,483,United States,scarf,853.18,2022,9,Stacey Roberson,Jeffery Snow
cotton,108,Australia,skirt,283.03,2022,7,Marc Garza,Caitlin Bentley
rayon,230,Spain,pants,226.53,2020,3,Victor Calhoun,Jennifer Perkins
polyester,65,Spain,pants,465.94,2020,4,Timothy Glenn,Joseph Kirk
cotton,491,United States,blouse,692.23,2020,9,Mariah Hughes,Doris Patterson
wool,283,New Zealand,blouse,148.15,2021,11,Matthew Rodriguez,Stanley Washington
linen,55,New Zealand,blouse,850.06,2021,8,Priscilla Wilson,John Garcia
wool,112,South Korea,shawl,931.74,2021,5,Debra Taylor,Kenneth Rogers
linen,18,United Kingdom,skirt,231.79,2022,3,Daniel Fisher,Mary Best
wool,116,Spain,shawl,611.25,2021,2,Elizabeth Warren,Lisa Hatfield
wool,298,Japan,jacket,737.44,2020,10,Walter Peterson,Eric Miller
wool,28,Hong Kong,skirt,879.96,2021,5,Marvin Barnett,Thomas Stanley
rayon,337,Germany,bags,50.28,2022,5,Derek Gonzalez,Matthew Anderson
rayon,432,Netherlands,blouse,577.54,2020,11,Gwendolyn Pearson,Anthony Sparks
batik,428,South Korea,jacket,771.9,2021,6,Bridget Holt,Harry Palmer
wool,428,South Korea,dress,827.34,2020,2,Mackenzie Peters,Mr. Richard Phillips
silk,406,Germany,shawl,714.36,2020,6,Marcus Smith,Molly Howard
wool,362,Germany,headwear,595.44,2021,7,Shelby Brown,Mike Simpson
silk,331,New Zealand,skirt,764.65,2022,1,Nathan Farmer,Raymond Soto
polyester,282,New Zealand,dress,656.56,2021,3,Scott Nichols,Thomas Lawson
linen,467,India,shawl,263.46,2021,11,Sharon Clayton,Gregory Walker
cotton,121,Japan,bags,839.47,2020,12,Katherine Mason,Derek King
silk,274,Canada,dress,107.52,2020,12,Melissa Green,Megan Perry
linen,117,Germany,shirt,490.57,2020,3,Janet Boyle,Jessica Reed
linen,373,Japan,shirt,336.84,2022,12,David Shields,Kevin Johnson
wool,91,Netherlands,shawl,620.23,2021,7,Daniel Carter,Karen Sanchez
wool,438,Japan,bags,787.26,2021,10,Nathaniel Adkins,Ronald Cook
wool,149,Hong Kong,jacket,769.94,2020,7,Courtney Brooks,Chris Haynes
linen,195,Spain,pants,385.92,2021,7,Chelsea Banks,Deanna Martinez
silk,235,Italy,pants,395.11,2021,7,Caroline Johnson,Brooke Phillips
cotton,325,China,shirt,752.02,2021,10,Thomas Martin,Michael Hampton
rayon,463,New Zealand,jacket,34.58,2022,7,Vincent Johnson,Joshua Burton
cotton,201,New Zealand,dress,972.45,2021,5,Roger Hall,Hannah Escobar
rayon,221,South Korea,headwear,759.36,2022,7,Edward Yang,Mr. Justin Quinn
rayon,427,Spain,shawl,190.41,2021,8,Benjamin Carter,Jon Logan
rayon,429,Hong Kong,shawl,226.57,2020,11,Monica Schmidt,Diane Wolfe
silk,213,Spain,skirt,931.4,2021,10,Brandon Mcdonald,Kristin Garrison
rayon,142,Germany,dress,859.84,2020,2,Johnny Mckee,Linda Douglas
linen,463,United States,shawl,141.29,2021,6,Melinda Yang,Robert Barajas
cotton,439,Italy,bags,488.73,2020,5,Roger Henry,Christopher Hunt
cotton,386,Hong Kong,skirt,636.61,2020,1,Lori Rodriguez,Amanda Coleman
wool,415,China,skirt,487.16,2021,8,Mrs. Diane Harris,Laura York
cotton,131,France,pants,513.31,2021,12,Melissa Torres,Kayla Barton
rayon,422,Australia,scarf,940.96,2022,8,Timothy Hernandez,Leslie Patterson
silk,89,New Zealand,headwear,212.78,2021,8,Michael Johnson,Grant Decker
rayon,375,Japan,pants,832.27,2021,1,Austin Schmidt,Christopher Stewart
batik,449,China,dress,531.86,2020,4,Erika Martinez,April Gonzalez
wool,134,Spain,blouse,482.7,2021,2,Amy Clark,Kathryn Newman
linen,230,India,shawl,190.54,2021,9,Richard Jones,Barbara Raymond
wool,482,Australia,shawl,840.3,2021,9,Mr. Steven Juarez,Jonathan Nelson
rayon,364,Spain,pants,772.81,2020,5,Krista Johnson,Anthony West
polyester,283,Netherlands,pants,64.11,2021,5,Cynthia Kennedy,Julian Wilkinson
polyester,105,Canada,shawl,363.51,2022,1,Richard Johnson,Alison Burton
wool,464,Spain,shawl,968.77,2022,12,Christopher Parrish,Joann Baker
polyester,468,France,skirt,427.02,2021,9,Isaac Berry,Erica Kane
polyester,155,India,bags,154.88,2021,10,Bradley Garcia,Julia Chavez
wool,345,New Zealand,blouse,836.56,2021,12,Maria Bernard,Christopher Pittman
batik,252,Italy,scarf,995.57,2022,2,Dean Boone,Daniel Silva
polyester,209,France,headwear,893.05,2022,2,Matthew Ballard,Nicole Velasquez
batik,73,United States,shawl,10.78,2022,7,Jonathan Day,Amanda Gardner
silk,330,New Zealand,jacket,529.06,2021,3,Sheena Rodriguez,John Miller
rayon,32,Hong Kong,bags,707.39,2021,12,Mark Moran,Daniel Meyers
rayon,124,Germany,jacket,125.39,2022,5,Daniel Lynn DVM,Benjamin Knight
rayon,197,India,shirt,459.53,2020,3,Carol Armstrong,Jeremy Mahoney
wool,391,Netherlands,shirt,238.14,2021,5,Gina Cantu,William Jackson
wool,360,India,shawl,258.75,2020,10,Matthew Walker,Gregory Foster
silk,461,Italy,pants,661.98,2020,9,Troy Ramsey,Patricia Lopez
batik,76,New Zealand,jacket,325.21,2022,8,Ann Johnston,Gabriel Johnson
silk,368,India,scarf,971.96,2021,7,Maureen Duffy,Keith Burke
cotton,191,United States,blouse,765.04,2020,5,Dustin Brown,Joel Yoder
batik,82,France,skirt,27.29,2022,12,Kristin Nichols,Stacey Smith
wool,238,Spain,shawl,223.98,2022,10,Eileen Smith,Dr. Cindy Caldwell
silk,361,New Zealand,skirt,686.57,2021,1,Stephanie Cisneros,Gabriel Torres
cotton,307,France,scarf,756.98,2020,12,Valerie Brooks,Nancy Berger
batik,343,Spain,shirt,822.11,2022,1,Daniel Arroyo,Mrs. Sarah Roth
batik,234,India,shirt,902.23,2021,10,Adrienne Graves,Christine Lee
wool,437,South Korea,scarf,445.52,2021,7,Stacey Rose,Krista Kelly
wool,222,United Kingdom,skirt,237.63,2020,4,Christopher Odonnell,Susan Oneal
silk,437,Germany,jacket,57.32,2022,9,Kevin Allen,Tracey Robertson
linen,98,Spain,dress,73.7,2021,3,James Gilbert,Mr. Brandon Lee
silk,273,France,shirt,871.16,2021,7,Andrew Bailey,Mark Ayala PhD
linen,29,United States,dress,812.67,2020,1,Katherine Clark,Matthew Bryant
polyester,257,Italy,pants,941.16,2021,7,Eric Harris,William Mcdonald
linen,478,France,headwear,621.69,2022,2,Michael Williams,Timothy Lewis
wool,211,Italy,bags,494.62,2021,1,Gregory Gordon,William Lee
wool,56,India,shirt,396.46,2020,7,Matthew Robertson,Kyle Phillips
linen,328,Italy,skirt,530.4,2020,3,Michael Williams,Kristin Flowers
linen,452,Japan,shawl,12.84,2020,9,Victoria Solis,Kevin Thomas
batik,392,United Kingdom,jacket,639.2,2022,5,Christine Hicks,John Walker
wool,390,Hong Kong,shawl,691.99,2020,12,Beverly White,Jeremy Evans
rayon,305,Netherlands,headwear,295.19,2022,7,Kelly West,Jessica Marshall
cotton,300,Spain,scarf,852.72,2020,9,Jessica Brown,Craig Morris
polyester,251,Hong Kong,shawl,473.34,2022,7,Ashley Wood,Stephanie Olsen
cotton,51,South Korea,shirt,408.74,2020,11,Ian Mcgee,Mark Harrell
polyester,475,Canada,bags,424.85,2021,1,Sharon Olson,Mckenzie Bishop
linen,100,Spain,skirt,564.05,2022,10,Mr. Dennis Harvey,Dwayne Dunlap
cotton,420,Canada,headwear,459.64,2022,5,Bradley Gonzalez,Tara Baker
polyester,49,South Korea,skirt,224.64,2020,2,Christopher Ward,Amber Dunn
polyester,20,New Zealand,blouse,27.18,2021,6,Phillip Cox,William Franklin
silk,148,France,jacket,204.54,2020,9,Anna Hess,Natalie Garcia
wool,144,United States,blouse,813.26,2022,2,Frank Jenkins,Craig Stephens
wool,373,Canada,skirt,817.94,2022,7,Sandra Blake,David Foster
batik,187,India,jacket,110.14,2021,6,Rachel Cervantes,Teresa Hernandez
linen,68,Italy,shirt,41.11,2021,9,Amanda Martinez,Amy Garrison
rayon,118,South Korea,bags,443.93,2020,3,James Silva,Linda Soto
batik,323,United States,shirt,347.38,2021,2,Jose Melton,Sara Wheeler
rayon,462,Netherlands,shawl,887.74,2022,11,Miguel Tate,Michael Castro
batik,406,Hong Kong,pants,575.94,2022,10,Sarah Silva,Megan Brewer
batik,186,France,scarf,201.24,2021,4,Alison Pennington,Taylor Bowen
batik,206,South Korea,scarf,1.51,2022,8,Kathryn Goodman,Dustin Dawson
batik,318,China,headwear,307.97,2021,1,Eric Marquez,David Reed
rayon,323,United States,skirt,957.4,2022,4,Justin Rodriguez,Michael Burnett
linen,21,New Zealand,blouse,871.06,2022,10,Jenna Shepard,Katherine Quinn
cotton,142,India,skirt,941.79,2022,1,Kimberly Carpenter,Nathan Trujillo
wool,392,China,scarf,961.08,2020,9,Kevin Dawson,Theodore Gardner
rayon,421,Canada,pants,401.81,2020,6,Nathan Bradshaw,Amy Quinn
wool,420,Netherlands,blouse,864.89,2021,11,Kim Morgan,Luke Adams
cotton,310,Netherlands,skirt,104.82,2020,8,Shirley Wade,Timothy Jacobs
polyester,109,Canada,shirt,137.59,2022,12,David Shaffer,Bradley Berger
linen,115,Hong Kong,headwear,792.68,2022,1,Thomas White,Eric Castro
polyester,427,South Korea,bags,912.71,2020,10,Priscilla Wise MD,Erin Rosario
rayon,192,South Korea,headwear,783.3,2021,9,Dr. Emily Snyder,Scott Moore
batik,97,United Kingdom,bags,471.48,2020,12,Timothy Evans,Mary Wiley
wool,288,China,pants,992.26,2021,1,Joseph Blackburn,Karen Patterson
polyester,17,Netherlands,shawl,817.25,2021,11,Joshua Sanders,Carolyn Jones
wool,45,Netherlands,dress,670.07,2021,1,Melissa Gilbert,Steve Turner
cotton,155,Spain,shirt,585.31,2021,11,Sheena Jones,Adam Carter
wool,310,Italy,headwear,423.05,2022,4,Thomas Bowers,Elizabeth Wallace
batik,408,New Zealand,skirt,15.61,2021,10,Michael Gilbert,Michael Huff
cotton,397,Spain,scarf,509.46,2022,11,Lisa Scott,Craig Russell
rayon,181,United Kingdom,blouse,900.4,2022,9,William Garcia,William Jones
silk,29,Japan,headwear,779.46,2020,3,Maria Scott,James Robinson
polyester,2,Hong Kong,bags,405.7,2022,6,Mitchell Garcia,Patricia Reyes
polyester,400,Canada,dress,780.28,2022,6,Jeff Taylor,Juan Stephenson
batik,491,France,scarf,857.32,2020,2,Audrey Atkinson,Michael Clark
linen,144,Spain,shawl,57.0,2021,1,Tammy Garcia,Steven Lopez
polyester,189,Germany,pants,902.71,2022,11,Becky Adkins,Mr. Johnny Higgins
rayon,278,Australia,shirt,582.62,2022,7,Jamie Meyers,Rachel Jones
polyester,318,India,skirt,595.78,2020,6,Jennifer Wolfe,Maria Johnson
polyester,97,Australia,shawl,86.79,2020,12,Gregory Osborn,Patricia Goodman
rayon,187,Canada,blouse,548.32,2020,8,Sean Miller,Rachel Hardin
silk,266,Spain,pants,515.88,2020,5,Amanda Ritter,Michelle Anderson
batik,241,China,headwear,49.06,2022,5,Ernest Hammond,Tony Chaney
wool,236,United Kingdom,dress,527.2,2022,4,Michael Davis,Sherry Mccullough
silk,439,United States,bags,524.45,2020,3,Kimberly Terry,Katherine Waller
wool,353,Australia,jacket,26.51,2020,12,Bridget Hicks,Samantha Deleon DVM
batik,348,France,jacket,998.41,2022,10,Danielle Foster,Willie Hays
cotton,302,South Korea,shirt,168.77,2021,5,Melissa Chen,Dawn Cooper
batik,438,Australia,shirt,949.66,2021,7,Maria Johnson,Alex Stone
linen,479,Hong Kong,blouse,425.45,2021,4,Pamela Murphy,Brian Carlson
rayon,410,Australia,dress,218.43,2021,3,James Allen,Vanessa Burgess
polyester,147,United States,headwear,644.14,2021,1,Jessica Case,Lisa Hoover
polyester,473,Spain,pants,503.19,2020,2,Dawn Mckenzie,Thomas Reynolds
wool,363,Italy,jacket,172.05,2022,10,Julie Ellis,Jennifer Howell
batik,373,Australia,blouse,123.92,2021,5,Jacqueline Smith,Matthew Gonzales
wool,241,Germany,skirt,286.76,2022,12,Kimberly Wood,Hannah Calderon
linen,306,Netherlands,scarf,722.88,2021,8,Crystal Wade,Anthony Christensen
cotton,86,Hong Kong,dress,711.9,2021,1,Allison Griffin,Katie Blanchard
wool,343,Australia,shirt,992.48,2022,3,Mark Chavez,Charles Ferguson
cotton,388,Germany,headwear,974.43,2021,10,Benjamin Boyd,Kathleen Hurst
wool,92,Netherlands,pants,507.94,2020,2,Richard Raymond,Carla Harvey
batik,466,South Korea,bags,372.54,2022,11,Richard Mathews,Nichole Ford
polyester,238,United Kingdom,jacket,302.02,2021,10,David Williams,Amy Ortega
batik,474,Hong Kong,headwear,534.43,2021,6,Jeffery Conrad,Dustin Martin
wool,248,Canada,jacket,624.94,2021,12,Eric Spencer,Terri Page
batik,491,Italy,dress,378.7,2020,10,Sandra Sanchez,Karen Franklin
batik,215,Germany,pants,38.86,2020,1,Ricky Molina,Cynthia Martinez
batik,121,France,blouse,822.91,2022,2,Megan Ortega,Richard Wilkinson
wool,495,China,pants,724.0,2021,10,Sandra King,Thomas Braun
polyester,281,South Korea,jacket,615.24,2020,10,Toni Ramos,Jennifer Ramos
batik,113,China,blouse,780.75,2020,5,Courtney Pena,Oscar Lester
linen,480,South Korea,scarf,660.44,2020,5,Sheila Briggs,Nicholas Hughes
silk,224,Hong Kong,dress,865.37,2020,10,John Santiago,Brenda Newman
silk,441,Hong Kong,pants,948.15,2021,10,John Cox,Michelle Andrews
polyester,489,Spain,scarf,7.78,2020,3,Michelle Baxter,Colin Mclean
rayon,17,France,blouse,360.44,2020,2,Matthew Tyler,Scott Johnson
cotton,465,Australia,skirt,468.43,2022,2,Tami Vargas,Scott Dominguez
linen,10,France,bags,196.23,2021,8,John Parker,Tyler Peters
polyester,301,Netherlands,headwear,175.66,2022,2,Brian Wagner,Miguel Stevens
polyester,333,Italy,shawl,510.21,2021,11,Michelle Jordan,Jennifer Alvarez
polyester,287,Canada,shawl,419.21,2020,3,Andrea Williams,Connie Smith
silk,138,Italy,skirt,438.56,2021,7,Sara Ward,Hannah Phelps
wool,148,France,dress,840.79,2020,4,Michael Martin,Andre Miller
linen,261,Netherlands,shirt,640.95,2021,12,Molly Johnson,Travis Reed
polyester,399,United Kingdom,blouse,498.8,2022,11,Alexander Ramirez,Jamie Hernandez
batik,99,Germany,jacket,11.88,2021,5,Tyler Calderon,Danny Garza
polyester,292,United Kingdom,shirt,714.85,2022,11,Michael Leon,Melissa Hart
silk,133,United States,headwear,175.36,2021,10,David Newman,Robin Morgan
polyester,212,Canada,skirt,130.28,2021,1,Kimberly Dixon,Robert Bowers
linen,112,Italy,headwear,54.31,2022,2,Laura Mcdowell,Kimberly Conley
polyester,312,Italy,shirt,597.53,2022,8,Evelyn Ortega,Michael Dickson
linen,222,Japan,shawl,81.59,2022,2,Joy Lynch,John Rogers
polyester,312,Hong Kong,blouse,723.17,2022,11,Jonathan Bailey,Daniel Blackwell
wool,321,Hong Kong,shawl,851.78,2022,11,Amy Perez,Dennis Moore
silk,413,India,shawl,693.69,2021,9,Charlotte Chan,Christopher Gardner
wool,253,Canada,dress,629.25,2021,4,Tony Gonzalez,Amy Beltran
wool,158,Japan,pants,573.87,2022,3,Joanne Hendricks,Thomas Nelson
linen,177,China,scarf,926.14,2021,5,Colleen Guzman,Aaron Blackburn
polyester,473,Hong Kong,skirt,360.14,2021,1,William Garza,Patricia Koch
wool,29,New Zealand,scarf,977.38,2022,10,Anthony Smith DDS,Daniel Brennan
cotton,382,France,jacket,419.55,2020,2,Frank Tanner,Zachary White
rayon,205,China,blouse,562.74,2022,5,Amy Smith DDS,Andrea Thompson
polyester,306,Canada,jacket,93.26,2022,11,Sharon Scott,Darryl Craig
silk,35,Hong Kong,pants,806.09,2022,10,Michael Reynolds,Craig Davis
cotton,62,Australia,blouse,43.22,2022,10,Brandon Martin,Carla Russell
cotton,340,United States,skirt,72.75,2021,10,Francisco Navarro,Mr. Brian Marsh
linen,286,New Zealand,blouse,152.98,2022,1,Dr. Deanna Baker,Crystal Nixon
batik,120,India,blouse,89.93,2022,11,Jesse Wolfe,William Jones
linen,243,Spain,scarf,254.28,2022,4,Jennifer Kim,Sara Hunt
cotton,69,Spain,shirt,729.16,2022,5,John Gilbert,David Shaw
silk,116,India,shawl,475.86,2021,10,Christopher Butler,Darius Perez
polyester,491,India,bags,156.24,2021,4,Jessica White,Laura Sherman
cotton,323,United Kingdom,jacket,533.19,2021,11,Kelsey Rowe,Michelle Bowman
polyester,455,Australia,blouse,484.72,2021,7,Robert Nguyen,Daniel Jacobs
cotton,303,United Kingdom,dress,87.81,2021,10,Christine Garza,Jillian Mckinney
wool,181,United States,blouse,269.49,2021,4,Suzanne Thomas,Roger Hubbard
polyester,380,Australia,headwear,382.39,2021,4,Matthew Reyes,Kelly Scott
cotton,114,Netherlands,shirt,263.3,2021,6,Eric Wilkins,Kelly Vargas
silk,71,Spain,shawl,731.79,2022,10,Emily Green,Maria Lopez
rayon,303,United Kingdom,pants,366.94,2020,12,Brittany Lopez,Erin Hood
batik,361,Germany,dress,76.74,2020,6,Christopher Carter,Ashley Harmon
cotton,115,Italy,pants,347.81,2021,10,Jasmine Ferrell,Louis Duke
cotton,418,United States,bags,731.6,2020,2,Jessica Young,Jason Zavala
linen,328,Netherlands,dress,601.75,2022,4,Mr. Jeremy Walker,Madison Solomon
polyester,468,Canada,jacket,736.42,2021,3,Judith Osborne,Alexander Chapman
batik,178,United Kingdom,skirt,301.84,2020,8,Lisa Davis,Michael Massey
linen,448,United Kingdom,bags,875.18,2021,11,William Taylor,Andre Wilcox
linen,269,India,shirt,279.87,2021,3,Ariel Monroe,Jennifer Rojas
silk,258,United States,skirt,109.58,2021,12,Oscar Thomas,Nicholas Carr
batik,295,France,blouse,177.46,2022,5,Jessica Huynh,Amanda Wilson
polyester,190,Canada,dress,262.37,2022,7,Rebecca Gonzalez,Dr. James Ramos
wool,91,Australia,pants,252.74,2020,7,Christina Taylor,Eric Bartlett
wool,206,South Korea,scarf,736.42,2022,9,Maureen Barr,Lauren Bishop
polyester,363,France,shirt,602.29,2021,4,Larry White,Grace Deleon
cotton,142,New Zealand,scarf,656.17,2020,3,Katherine Frazier,Michael Gill
cotton,427,Netherlands,shawl,149.93,2020,10,Holly Chambers,Andrew Price
linen,65,Hong Kong,skirt,186.57,2020,1,Robert Hamilton,Elizabeth Stein
linen,338,South Korea,pants,623.05,2021,2,Janice Meyer,Brenda Greene
silk,61,South Korea,pants,878.74,2021,12,James Thompson,Ronald Pena
cotton,464,United Kingdom,pants,504.91,2022,4,Brianna Sanders,Alexander Robinson
silk,383,Netherlands,shirt,31.02,2020,8,Carol Bailey,Michael Matthews
batik,271,Hong Kong,bags,852.9,2021,5,Alexander Hanson,Shelly Garrison
polyester,485,China,scarf,35.94,2022,9,Sheena Peters,Albert Frazier
cotton,432,Germany,headwear,545.13,2022,11,Dr. Leslie Hull,Robin Adams
wool,329,South Korea,jacket,791.19,2020,6,Erik Anderson,William Smith
linen,407,Japan,scarf,33.91,2021,6,Jeff Mccoy,Terry Riggs
rayon,360,Germany,headwear,984.16,2020,10,Jennifer Spencer PhD,Craig Sanchez
silk,258,Netherlands,dress,563.54,2022,5,Jennifer Castro,Alejandro Williams
polyester,42,India,pants,52.78,2022,7,James Wheeler,Tiffany Lindsey
rayon,28,Hong Kong,bags,456.1,2022,7,Judith Norman,Laura Johnson
linen,222,Germany,shawl,781.5,2021,8,Melinda Smith,Erin Lee
silk,100,United States,bags,105.13,2020,3,Gregory Donaldson,Kevin Maldonado MD
wool,161,Italy,dress,641.6,2022,1,Wanda Vaughn,Alex Martin
batik,82,Japan,scarf,671.87,2022,8,Katelyn Guzman,Cory Thomas
silk,405,South Korea,pants,571.21,2022,4,Sydney Esparza,Donald Kirby
cotton,67,Hong Kong,shirt,961.34,2021,7,Allison Jackson,John Guerrero
rayon,275,India,scarf,792.51,2022,3,Kellie Gilbert,James Hill
silk,458,United States,pants,499.38,2020,1,Michael Davis,Emily Thomas
polyester,85,Australia,bags,843.55,2022,6,Alfred Parker,Mary Curtis
